Bairro,Cidade,Estado,Valor do Imóvel,Quantidade de Cômodos,Tipo de Imóvel,Vagas de Garagem,Área (m²),Ano de Construção,Valor do Condomínio,Distância do Centro (km),Se tem Elevador,Se tem Piscina,Se está mobiliado,Idade_Imovel(Anos)
Ipanema,Rio de Janeiro,RJ,1196223.3,5,Casa,3,112.5,1999,,0.9,True,False,False,26
Copacabana,Rio de Janeiro,RJ,239350.0,2,Apartamento,1,35.2,2003,716.45,3.8,True,False,False,22
Copacabana,Rio de Janeiro,RJ,554546.95,3,Apartamento,1,83.4,2020,1219.76,9.2,True,True,False,5
Ipanema,Rio de Janeiro,RJ,807134.57,2,Casa,1,75.9,2023,,-2.2,True,False,False,2
Pinheiros,São Paulo,SP,638561.88,2,Apartamento,,73.8,1989,751.32,9.0,True,True,False,36
Santana,São Paulo,SP,1269356.2,6,Apartamento,3,110.6,2008,600.03,2.6,True,False,True,17
Botafogo,Rio de Janeiro,RJ,783064.34,4,Apartamento,2,78.1,1988,1163.14,3.2,True,False,False,37
Leblon,Rio de Janeiro,RJ,661204.77,5,Apartamento,2,90.3,2004,1271.73,1.7,True,False,True,21
Pinheiros,São Paulo,SP,935627.8,5,Apartamento,1,101.7,2023,441.91,6.7,True,True,True,2
Pinheiros,São Paulo,SP,534805.91,2,Casa,1,74.6,2021,,7.0,True,False,True,4
Botafogo,Rio de Janeiro,RJ,511292.53,3,Casa,2,75.8,2012,,7.4,True,False,False,13
Moema,São Paulo,SP,778450.38,4,Casa,2,71.6,2005,,5.1,True,True,False,20
Buritis,Belo Horizonte,MG,505632.0,3,Apartamento,2,50.0,2011,321.03,4.2,True,False,False,14
Pampulha,Belo Horizonte,MG,539002.98,5,Apartamento,1,95.2,2009,359.07,4.2,True,False,False,16
Barro Preto,Belo Horizonte,MG,1014204.34,5,Apartamento,1,111.0,1997,570.47,2.8,True,False,False,28
Centro,Belo Horizonte,MG,776026.94,3,Casa,0,84.4,2007,,4.8,True,True,False,18
Ipanema,Rio de Janeiro,RJ,1067776.21,3,Apartamento,3,96.6,2012,1160.34,3.9,True,False,True,13
Buritis,Belo Horizonte,MG,257906.48,2,Apartamento,2,28.2,1997,1478.43,3.5,True,False,False,28
Pinheiros,São Paulo,SP,771343.1,3,Casa,1,79.6,1991,,2.0,True,False,False,34
Leblon,Rio de Janeiro,RJ,718119.4,3,Casa,1,89.9,1970,,1.0,True,False,False,55
Santana,São Paulo,SP,308735.69,2,Apartamento,,56.3,1996,1310.43,6.2,True,False,False,29
Pinheiros,São Paulo,SP,938666.09,5,Casa,,97.0,1984,,8.5,True,False,False,41
,Rio de Janeiro,RJ,1006212.46,5,Apartamento,3,137.7,1972,1453.88,6.5,True,True,True,53
Ipanema,Rio de Janeiro,RJ,1101139.2,6,Casa,2,100.8,2016,,-0.0,True,False,False,9
Pampulha,Belo Horizonte,MG,637202.29,6,Apartamento,2,105.2,2014,1427.08,8.7,True,True,True,11
Leblon,Rio de Janeiro,RJ,314505.18,2,Casa,0,58.1,1970,,5.3,True,False,False,55
Copacabana,Rio de Janeiro,RJ,309471.62,2,Apartamento,1,48.3,2021,1369.3,8.5,True,False,True,4
Vila Mariana,São Paulo,SP,683755.91,6,Casa,1,111.7,2019,,2.4,True,False,False,6
,São Paulo,SP,796038.63,5,Apartamento,3,94.8,2021,1183.82,6.6,True,False,False,4
Leblon,Rio de Janeiro,RJ,660731.94,3,Apartamento,2,82.5,2008,722.8,5.6,True,False,False,17
Savassi,Belo Horizonte,MG,921568.1,6,Casa,1,,1996,,4.5,True,False,False,29
Tatuapé,São Paulo,SP,809027.09,6,Apartamento,2,124.0,2019,968.51,5.3,True,False,False,6
Savassi,Belo Horizonte,MG,807057.1,3,Casa,2,75.5,1992,,0.7,True,True,False,33
Pinheiros,São Paulo,SP,380523.36,2,Casa,2,53.7,1977,,7.7,True,False,False,48
Santana,São Paulo,SP,470481.58,2,Apartamento,2,56.4,1973,1406.29,0.7,True,False,True,52
Savassi,Belo Horizonte,MG,580659.92,3,Apartamento,0,55.4,1998,771.99,3.6,True,False,True,27
Santana,São Paulo,SP,560437.57,2,Casa,1,63.7,1996,,3.2,True,False,True,29
Santana,São Paulo,SP,786521.58,4,Apartamento,0,71.9,2003,1030.39,2.2,True,True,False,22
Santana,São Paulo,SP,494736.95,2,Casa,1,78.1,1988,,3.0,True,False,False,37
Savassi,Belo Horizonte,MG,696959.91,4,Apartamento,2,86.5,2006,300.26,7.0,True,False,False,19
Vila Mariana,São Paulo,SP,554548.9,4,Apartamento,1,85.5,1988,1285.11,8.1,True,False,True,37
Savassi,Belo Horizonte,MG,1193601.22,8,Casa,1,141.9,2018,,5.1,True,False,False,7
Ipanema,Rio de Janeiro,RJ,669263.14,3,Casa,0,67.9,1992,,5.4,True,False,False,33
Vila Mariana,São Paulo,SP,800119.55,4,Casa,1,101.1,1978,,5.1,True,True,False,47
Pinheiros,São Paulo,SP,754158.48,5,Apartamento,3,105.8,2002,311.17,1.1,True,False,True,23
Tijuca,Rio de Janeiro,RJ,472816.9,3,Casa,2,59.2,1979,,7.8,True,False,False,46
Pinheiros,São Paulo,SP,424439.72,2,Casa,2,51.6,1990,,6.4,True,False,False,35
Centro,Belo Horizonte,MG,1063978.51,4,Apartamento,2,89.5,1977,1304.88,2.8,True,True,False,48
Centro,Belo Horizonte,MG,462204.21,2,Apartamento,0,59.9,1975,1133.48,3.4,True,True,False,50
Barro Preto,Belo Horizonte,MG,993809.36,4,Apartamento,,93.1,1970,478.36,2.4,True,True,False,55
Centro,Belo Horizonte,MG,1166434.77,5,Apartamento,3,124.5,2018,665.95,3.3,True,False,False,7
Botafogo,Rio de Janeiro,RJ,724260.21,3,Casa,0,70.8,1991,,3.3,True,False,True,34
Leblon,Rio de Janeiro,RJ,430691.88,3,Casa,0,55.5,2000,,1.6,True,False,True,25
Moema,São Paulo,SP,850194.05,5,Casa,0,86.2,1997,,-0.3,True,False,True,28
Tijuca,Rio de Janeiro,RJ,780047.38,4,Apartamento,1,118.6,2003,431.04,-0.1,True,False,False,22
Botafogo,Rio de Janeiro,RJ,420547.71,3,Apartamento,0,71.4,2023,1096.7,2.4,True,False,False,2
Botafogo,Rio de Janeiro,RJ,607111.29,3,Casa,3,96.6,1983,,1.7,True,False,False,42
Leblon,Rio de Janeiro,RJ,757199.72,6,Apartamento,3,105.2,1996,847.25,4.6,True,False,False,29
Barro Preto,Belo Horizonte,MG,732310.74,4,Apartamento,2,90.0,1991,1289.77,4.7,True,False,False,34
Santana,São Paulo,SP,641404.35,3,Casa,2,69.3,1996,,-0.1,True,False,False,29
Copacabana,Rio de Janeiro,RJ,505425.25,4,Casa,0,76.9,2012,,2.2,True,False,False,13
Botafogo,Rio de Janeiro,RJ,375783.75,3,Casa,2,60.6,1988,,9.4,True,True,True,37
Tijuca,Rio de Janeiro,RJ,460228.96,4,Apartamento,0,80.5,1988,764.57,7.8,True,False,True,37
Barro Preto,Belo Horizonte,MG,939029.0,5,Casa,3,121.4,2019,,7.5,True,False,False,6
Centro,Belo Horizonte,MG,554143.97,3,Apartamento,0,85.1,1992,1376.96,7.0,True,True,False,33
Vila Mariana,São Paulo,SP,775693.56,5,Casa,2,91.3,1978,,-1.3,True,False,True,47
Tatuapé,São Paulo,SP,338699.04,3,Apartamento,0,40.9,1980,344.76,2.5,True,False,False,45
Moema,São Paulo,SP,267535.63,2,Casa,2,36.8,2019,,7.0,True,False,True,6
Pinheiros,São Paulo,SP,1324732.32,7,Apartamento,3,132.9,1996,1333.41,7.3,True,False,False,29
Pampulha,Belo Horizonte,MG,876094.59,3,Apartamento,1,87.7,2007,979.09,4.1,True,False,False,18
Leblon,Rio de Janeiro,RJ,477546.94,3,Apartamento,1,81.2,1993,311.23,2.8,True,False,False,32
Barro Preto,Belo Horizonte,MG,268404.47,2,Casa,1,32.3,1986,,4.1,True,False,False,39
Barro Preto,Belo Horizonte,MG,240596.93,2,Apartamento,2,25.3,1988,502.95,4.5,True,False,True,37
Copacabana,Rio de Janeiro,RJ,677125.04,4,Apartamento,0,73.8,2022,424.07,6.1,True,False,True,3
Centro,Belo Horizonte,MG,838086.08,4,Apartamento,3,116.0,2001,751.4,0.5,True,False,True,24
Moema,São Paulo,SP,628808.63,3,Apartamento,0,76.6,1977,1185.47,6.2,True,False,True,48
Copacabana,Rio de Janeiro,RJ,610392.0,3,Apartamento,1,62.5,1990,1317.13,11.1,True,True,True,35
Copacabana,Rio de Janeiro,RJ,477327.48,2,Apartamento,1,79.0,2013,973.67,8.0,True,False,False,12
Vila Mariana,São Paulo,SP,532212.93,4,Casa,2,69.5,2015,,9.0,True,False,True,10
Vila Mariana,São Paulo,SP,713665.38,5,Apartamento,2,81.3,1972,704.79,7.9,True,False,True,53
Vila Mariana,São Paulo,SP,603325.8,2,Casa,2,70.0,2006,,8.0,True,True,True,19
Savassi,Belo Horizonte,MG,1139775.24,4,Apartamento,1,105.1,1973,958.38,3.3,True,False,False,52
Ipanema,Rio de Janeiro,RJ,970077.22,4,Apartamento,2,97.8,1997,526.63,6.6,True,False,True,28
,São Paulo,SP,668900.43,4,Apartamento,,98.6,2023,985.7,3.0,True,False,False,2
Savassi,Belo Horizonte,MG,351649.42,3,Apartamento,2,57.0,2000,767.99,8.8,True,False,False,25
Buritis,Belo Horizonte,MG,393031.31,2,Apartamento,2,65.5,2005,1024.95,2.7,True,False,False,20
Copacabana,Rio de Janeiro,RJ,513316.59,2,Apartamento,,60.7,1979,1146.26,5.9,True,False,False,46
Ipanema,Rio de Janeiro,RJ,597991.56,3,Casa,2,,2014,,0.7,True,True,False,11
Pinheiros,São Paulo,SP,714023.16,2,Apartamento,1,79.2,2000,1174.58,7.9,True,False,True,25
Ipanema,Rio de Janeiro,RJ,656494.15,2,Apartamento,0,69.3,1996,322.36,4.8,True,False,True,29
Copacabana,Rio de Janeiro,RJ,502365.54,4,Apartamento,0,80.9,1986,1340.05,4.4,True,False,True,39
Barro Preto,Belo Horizonte,MG,1105189.65,5,Casa,,135.7,1995,,2.4,True,False,False,30
Tijuca,Rio de Janeiro,RJ,794100.54,3,Apartamento,2,72.6,2002,1041.93,2.6,True,False,False,23
Savassi,Belo Horizonte,MG,789292.94,2,Apartamento,0,79.2,2021,691.1,6.1,True,True,False,4
Pinheiros,São Paulo,SP,1044377.14,4,Apartamento,3,96.8,2021,441.31,0.5,True,False,False,4
Vila Mariana,São Paulo,SP,839684.76,5,Apartamento,0,88.7,1991,346.1,2.9,True,True,False,34
Santana,São Paulo,SP,640212.74,5,Casa,1,100.7,2008,,7.8,True,True,True,17
Leblon,Rio de Janeiro,RJ,459131.28,4,Apartamento,0,69.8,1987,397.34,1.6,True,True,False,38
Barro Preto,Belo Horizonte,MG,732921.2,4,Apartamento,1,79.7,2011,742.63,6.0,True,False,False,14
Pampulha,Belo Horizonte,MG,793485.01,2,Casa,1,67.1,2014,,3.0,True,True,True,11
Moema,São Paulo,SP,847030.34,4,Apartamento,1,103.5,1987,1046.89,3.8,True,False,False,38
Buritis,Belo Horizonte,MG,1031773.17,5,Apartamento,2,124.9,1999,347.53,2.8,True,True,True,26
Savassi,Belo Horizonte,MG,646200.19,3,Apartamento,0,78.7,2011,397.67,4.5,True,False,False,14
Barro Preto,Belo Horizonte,MG,792078.8,5,Casa,1,87.0,2007,,6.8,True,False,True,18
Centro,Belo Horizonte,MG,405017.64,2,Apartamento,0,49.3,1988,888.79,-0.3,True,True,False,37
Savassi,Belo Horizonte,MG,379484.72,2,Apartamento,1,44.6,1986,536.34,8.7,True,False,False,39
Tijuca,Rio de Janeiro,RJ,1452433.92,6,Apartamento,3,126.1,2022,942.41,2.3,True,True,False,3
Ipanema,Rio de Janeiro,RJ,465437.42,4,Casa,,68.6,1991,,3.7,True,False,False,34
Savassi,Belo Horizonte,MG,713454.13,5,Apartamento,1,89.3,2008,1470.34,6.8,True,False,False,17
Botafogo,Rio de Janeiro,RJ,589110.52,4,Casa,1,108.7,1973,,7.5,True,False,False,52
Pinheiros,São Paulo,SP,745510.02,2,Apartamento,2,58.9,1973,475.4,2.2,True,True,False,52
Moema,São Paulo,SP,900048.34,4,Casa,3,105.9,1978,,6.6,True,True,False,47
Santana,São Paulo,SP,412630.31,3,Apartamento,0,61.6,2017,1061.99,9.2,True,False,False,8
Botafogo,Rio de Janeiro,RJ,508684.24,4,Apartamento,0,71.1,1980,330.65,2.9,True,False,False,45
Pinheiros,São Paulo,SP,702383.92,4,Apartamento,,115.7,1984,906.44,6.6,True,False,True,41
Barro Preto,Belo Horizonte,MG,590349.82,4,Apartamento,2,80.1,2010,872.71,3.3,True,False,True,15
Moema,São Paulo,SP,574414.55,5,Apartamento,3,102.9,1981,1050.37,7.0,True,False,False,44
Barro Preto,Belo Horizonte,MG,706727.64,2,Apartamento,0,68.8,2009,549.45,4.6,True,False,False,16
Centro,Belo Horizonte,MG,681728.32,3,Casa,2,82.0,1991,,7.0,True,False,True,34
Moema,São Paulo,SP,1307991.24,6,Apartamento,1,112.7,2015,432.89,4.1,True,True,True,10
Savassi,Belo Horizonte,MG,896304.58,3,Apartamento,2,88.8,2022,307.74,7.6,True,False,True,3
Tijuca,Rio de Janeiro,RJ,550643.18,3,Casa,0,72.8,1986,,6.5,True,False,False,39
Savassi,Belo Horizonte,MG,748394.62,4,Apartamento,1,85.8,2022,1157.05,2.6,True,False,False,3
Savassi,Belo Horizonte,MG,566655.03,2,Casa,1,62.9,1992,,-0.6,True,False,False,33
Botafogo,Rio de Janeiro,RJ,604684.08,2,Casa,1,79.2,2007,,7.0,True,False,True,18
,Belo Horizonte,MG,629554.34,2,Casa,1,79.4,1972,,4.2,True,False,False,53
Savassi,Belo Horizonte,MG,546717.46,3,Casa,2,82.7,1984,,5.8,True,False,True,41
Moema,São Paulo,SP,555727.59,3,Apartamento,1,84.6,2000,1349.95,12.2,True,False,False,25
Buritis,Belo Horizonte,MG,559247.93,4,Casa,,88.4,2018,,1.7,True,False,False,7
Moema,São Paulo,SP,686888.24,4,Casa,2,64.5,2005,,8.0,True,True,True,20
Copacabana,Rio de Janeiro,RJ,252887.54,2,Casa,0,31.2,2022,,7.0,True,False,True,3
Vila Mariana,São Paulo,SP,891464.15,5,Casa,2,118.1,2009,,1.2,True,False,False,16
Vila Mariana,São Paulo,SP,659084.03,2,Casa,2,58.8,2021,,4.4,True,True,False,4
Leblon,Rio de Janeiro,RJ,300368.88,2,Casa,2,42.7,1988,,5.0,True,False,False,37
Botafogo,Rio de Janeiro,RJ,938799.98,5,Apartamento,1,92.1,1978,1056.18,5.7,True,True,False,47
Tatuapé,São Paulo,SP,589793.6,3,Apartamento,1,73.6,2023,1427.25,-1.7,True,False,False,2
Botafogo,Rio de Janeiro,RJ,460684.13,2,Casa,1,58.6,1998,,7.2,True,False,False,27
Pinheiros,São Paulo,SP,421795.92,4,Casa,2,60.0,1987,,6.6,True,False,False,38
Pampulha,Belo Horizonte,MG,562140.46,2,Apartamento,2,66.3,1993,831.29,7.0,True,False,False,32
Buritis,Belo Horizonte,MG,730640.66,2,Apartamento,0,72.3,2005,455.7,2.6,True,False,False,20
Santana,São Paulo,SP,886203.94,3,Casa,2,86.4,1992,,0.9,True,False,False,33
Santana,São Paulo,SP,124892.56,2,Casa,0,14.5,2006,,9.6,True,False,False,19
Copacabana,Rio de Janeiro,RJ,495105.98,2,Apartamento,0,69.4,2009,1125.01,6.6,True,False,False,16
Barro Preto,Belo Horizonte,MG,543136.35,3,Casa,0,61.9,2014,,0.1,True,False,False,11
Barro Preto,Belo Horizonte,MG,999211.72,5,Casa,1,103.7,2018,,3.0,True,True,False,7
Savassi,Belo Horizonte,MG,576624.79,3,Casa,0,61.6,1970,,4.7,True,False,False,55
Centro,Belo Horizonte,MG,802369.22,5,Casa,2,96.7,2017,,8.5,True,False,False,8
Copacabana,Rio de Janeiro,RJ,653476.01,3,Casa,0,67.5,2016,,10.3,True,True,False,9
Santana,São Paulo,SP,1036676.28,3,Apartamento,2,93.2,2007,796.12,7.9,True,True,False,18
Copacabana,Rio de Janeiro,RJ,810270.42,3,Apartamento,0,65.4,1986,1308.23,0.1,True,False,True,39
Pampulha,Belo Horizonte,MG,491899.76,2,Apartamento,2,68.0,2001,1060.63,4.8,True,True,False,24
Centro,Belo Horizonte,MG,858863.03,6,Casa,3,120.6,1987,,0.7,True,True,True,38
Leblon,Rio de Janeiro,RJ,830332.46,3,Apartamento,3,98.2,1981,1152.09,6.3,True,False,True,44
Barro Preto,Belo Horizonte,MG,588846.84,4,Apartamento,0,62.8,2004,848.77,5.9,True,False,False,21
Pampulha,Belo Horizonte,MG,804850.99,5,Casa,2,93.5,1972,,6.8,True,False,False,53
Tatuapé,São Paulo,SP,967810.08,6,Casa,2,101.1,1985,,2.9,True,False,True,40
Copacabana,Rio de Janeiro,RJ,490041.85,2,Apartamento,2,60.2,2002,419.5,8.7,True,False,False,23
Leblon,Rio de Janeiro,RJ,536292.06,5,Casa,2,83.3,2003,,2.8,True,False,False,22
Vila Mariana,São Paulo,SP,1179325.87,4,Casa,1,107.1,1987,,3.9,True,False,False,38
Santana,São Paulo,SP,583414.7,5,Apartamento,3,90.8,2011,1209.88,5.7,True,False,False,14
Leblon,Rio de Janeiro,RJ,594749.01,5,Casa,2,83.3,1971,,8.6,True,False,False,54
Tijuca,Rio de Janeiro,RJ,351575.72,2,Apartamento,0,56.4,1989,1194.06,3.2,True,True,False,36
Copacabana,Rio de Janeiro,RJ,315609.13,2,Apartamento,0,52.2,1984,301.49,6.2,True,False,False,41
Botafogo,Rio de Janeiro,RJ,997409.64,5,Casa,3,95.2,2010,,-0.8,True,False,False,15
Pampulha,Belo Horizonte,MG,442466.05,2,Casa,1,45.2,1995,,8.9,True,False,True,30
Savassi,Belo Horizonte,MG,648350.91,4,Apartamento,3,100.2,2006,1273.53,12.9,True,True,True,19
Barro Preto,Belo Horizonte,MG,516505.0,2,Casa,2,62.5,2015,,8.5,True,False,True,10
Tijuca,Rio de Janeiro,RJ,1275446.54,6,Casa,3,125.1,1989,,3.8,True,False,False,36
Botafogo,Rio de Janeiro,RJ,869061.53,7,Casa,1,128.4,1990,,7.2,True,False,False,35
Centro,Belo Horizonte,MG,955343.95,4,Casa,3,90.4,2014,,3.9,True,False,False,11
Pinheiros,São Paulo,SP,746576.0,3,Apartamento,2,85.8,2005,1418.36,1.6,True,False,False,20
Pinheiros,São Paulo,SP,393987.12,2,Casa,2,58.7,1995,,5.3,True,True,True,30
Ipanema,Rio de Janeiro,RJ,556413.79,2,Apartamento,0,46.5,2018,1273.8,4.4,True,True,False,7
Pinheiros,São Paulo,SP,531802.54,3,Casa,2,57.8,1988,,6.2,True,False,True,37
Moema,São Paulo,SP,727057.29,4,Apartamento,1,79.3,1991,937.71,11.2,True,False,False,34
Vila Mariana,São Paulo,SP,1304512.0,6,Apartamento,2,109.0,1975,1285.57,-0.0,True,False,False,50
Barro Preto,Belo Horizonte,MG,541449.49,3,Casa,2,63.9,1987,,4.9,True,False,False,38
Botafogo,Rio de Janeiro,RJ,398702.19,2,Casa,1,44.7,2020,,1.8,True,True,False,5
Vila Mariana,São Paulo,SP,667759.84,2,Apartamento,1,76.4,2004,1231.7,4.9,True,False,True,21
Buritis,Belo Horizonte,MG,803363.84,3,Casa,1,89.0,2003,,9.0,True,False,False,22
,Belo Horizonte,MG,570440.61,2,Casa,0,63.3,2017,,6.0,True,False,True,8
Santana,São Paulo,SP,667331.15,5,Apartamento,2,89.5,1971,408.27,3.9,True,False,False,54
Santana,São Paulo,SP,540024.28,2,Casa,0,57.2,2010,,4.9,True,False,True,15
Savassi,Belo Horizonte,MG,439568.53,3,Apartamento,2,55.9,1979,658.03,3.9,True,False,True,46
Vila Mariana,São Paulo,SP,1261075.14,6,Casa,3,103.0,2006,,-0.7,True,False,True,19
Tatuapé,São Paulo,SP,438005.05,3,Apartamento,2,47.2,1985,1168.53,9.8,True,False,False,40
Santana,São Paulo,SP,581423.66,3,Apartamento,2,56.9,1990,1403.01,5.1,True,False,False,35
Tijuca,Rio de Janeiro,RJ,780078.59,6,Casa,1,108.8,2021,,5.5,True,False,False,4
Botafogo,Rio de Janeiro,RJ,610043.8,5,Apartamento,3,107.6,2000,796.59,5.4,True,False,False,25
Botafogo,Rio de Janeiro,RJ,75697.35,2,Apartamento,2,,1982,732.52,5.4,True,False,False,43
Botafogo,Rio de Janeiro,RJ,1275224.21,5,Apartamento,2,104.6,1981,460.83,0.7,True,True,False,44
Pampulha,Belo Horizonte,MG,1048058.91,3,Apartamento,3,98.5,2019,415.07,2.9,True,False,True,6
Vila Mariana,São Paulo,SP,1152551.4,4,Apartamento,1,98.8,2008,1451.88,2.5,True,True,False,17
Centro,Belo Horizonte,MG,855773.28,3,Apartamento,2,94.9,1995,1091.65,7.6,True,False,False,30
,São Paulo,SP,717151.16,4,Casa,2,113.3,1989,,6.9,True,False,False,36
Buritis,Belo Horizonte,MG,546286.91,4,Apartamento,2,69.1,2014,1274.01,6.6,True,False,False,11
Tatuapé,São Paulo,SP,1014569.25,4,Casa,1,106.0,1982,,9.9,True,True,True,43
Barro Preto,Belo Horizonte,MG,778149.16,4,Apartamento,1,75.8,2023,1264.5,3.1,True,True,False,2
Pampulha,Belo Horizonte,MG,812421.79,3,Casa,2,85.1,1998,,2.8,True,False,False,27
Buritis,Belo Horizonte,MG,368788.54,2,Apartamento,2,44.1,1981,1195.37,4.1,True,False,True,44
Botafogo,Rio de Janeiro,RJ,566956.47,4,Casa,2,83.6,1999,,9.2,True,False,False,26
Centro,Belo Horizonte,MG,852941.76,3,Apartamento,0,86.2,2022,869.12,9.2,True,False,True,3
Pampulha,Belo Horizonte,MG,1041476.41,3,Apartamento,1,96.7,2017,1406.15,1.5,True,False,True,8
Barro Preto,Belo Horizonte,MG,545734.8,4,Apartamento,0,69.0,1977,665.69,5.0,True,False,False,48
Ipanema,Rio de Janeiro,RJ,754994.28,4,Apartamento,2,91.2,2023,1138.87,2.7,True,False,False,2
Botafogo,Rio de Janeiro,RJ,541617.15,2,Casa,1,48.5,2017,,0.6,True,False,False,8
Tijuca,Rio de Janeiro,RJ,986020.91,4,Apartamento,1,104.3,2002,642.56,8.5,True,False,False,23
Ipanema,Rio de Janeiro,RJ,703695.47,5,Apartamento,3,91.8,1972,600.07,5.1,True,False,True,53
Vila Mariana,São Paulo,SP,1197334.01,4,Apartamento,,114.2,1971,364.89,4.2,True,False,False,54
Santana,São Paulo,SP,991622.49,7,Casa,3,124.2,1989,,-1.6,True,False,True,36
Pampulha,Belo Horizonte,MG,520796.51,3,Casa,2,72.4,2020,,8.9,True,False,False,5
Pinheiros,São Paulo,SP,358115.88,2,Casa,1,47.8,2018,,4.2,True,False,False,7
Copacabana,Rio de Janeiro,RJ,698044.21,5,Casa,2,89.6,1990,,4.8,True,False,False,35
Copacabana,Rio de Janeiro,RJ,449719.36,2,Casa,0,54.4,2003,,2.5,True,False,False,22
Ipanema,Rio de Janeiro,RJ,471233.36,4,Casa,0,69.4,1970,,4.3,True,False,False,55
Tatuapé,São Paulo,SP,206567.09,2,Casa,2,22.8,1980,,7.0,True,False,True,45
Buritis,Belo Horizonte,MG,450148.96,3,Apartamento,0,52.5,2015,1015.12,9.2,True,False,True,10
Centro,Belo Horizonte,MG,782919.74,3,Casa,1,83.0,2003,,6.2,True,False,False,22
Botafogo,Rio de Janeiro,RJ,486334.75,3,Apartamento,2,62.9,1990,1341.26,1.2,True,False,False,35
Savassi,Belo Horizonte,MG,793123.27,2,Casa,,77.9,1987,,10.0,True,False,True,38
Centro,Belo Horizonte,MG,592497.58,5,Apartamento,3,100.3,2007,1219.16,3.9,True,False,False,18
Centro,Belo Horizonte,MG,360480.95,2,Apartamento,0,55.8,2013,838.71,7.2,True,False,False,12
Barro Preto,Belo Horizonte,MG,708010.96,4,Casa,1,82.2,2006,,8.8,True,False,False,19
Barro Preto,Belo Horizonte,MG,550419.16,2,Casa,0,56.5,1974,,9.6,True,True,False,51
Pampulha,Belo Horizonte,MG,561160.9,4,Apartamento,2,76.4,1990,988.19,8.3,True,False,False,35
Savassi,Belo Horizonte,MG,443791.04,2,Apartamento,2,70.4,2018,360.85,8.5,True,False,False,7
Savassi,Belo Horizonte,MG,496744.65,4,Apartamento,1,80.7,2009,1442.46,6.4,True,False,False,16
Tijuca,Rio de Janeiro,RJ,725370.01,5,Casa,0,81.8,1990,,6.3,True,False,False,35
Vila Mariana,São Paulo,SP,258270.64,2,Casa,0,36.2,1988,,10.2,True,False,False,37
Leblon,Rio de Janeiro,RJ,1330416.54,6,Casa,3,126.1,2010,,5.7,True,False,False,15
Ipanema,Rio de Janeiro,RJ,707593.65,3,Casa,2,66.5,1993,,4.6,True,False,True,32
Leblon,Rio de Janeiro,RJ,431302.32,2,Casa,1,64.8,2020,,2.0,True,False,True,5
Savassi,Belo Horizonte,MG,160379.74,2,Casa,2,25.3,1999,,6.7,True,False,False,26
Leblon,Rio de Janeiro,RJ,748747.5,5,Apartamento,1,99.8,1986,1075.22,0.9,True,False,False,39
Tijuca,Rio de Janeiro,RJ,490877.05,4,Casa,0,67.3,2010,,4.2,True,True,False,15
Savassi,Belo Horizonte,MG,702811.71,4,Apartamento,,111.1,2000,813.45,4.1,True,False,False,25
Buritis,Belo Horizonte,MG,696270.15,6,Apartamento,3,108.1,1995,679.54,8.3,True,False,False,30
Centro,Belo Horizonte,MG,651986.73,3,Apartamento,1,,1973,327.25,6.4,True,False,False,52
Pinheiros,São Paulo,SP,495917.52,3,Apartamento,1,84.0,2015,1255.13,7.8,True,False,False,10
Savassi,Belo Horizonte,MG,907072.92,7,Apartamento,1,,2018,1035.06,5.0,True,False,True,7
Vila Mariana,São Paulo,SP,515790.56,3,Casa,1,84.3,1982,,3.3,True,False,True,43
Ipanema,Rio de Janeiro,RJ,958255.21,4,Apartamento,1,95.2,2014,1362.72,2.1,True,False,False,11
Buritis,Belo Horizonte,MG,762435.65,4,Casa,1,,1994,,3.2,True,False,False,31
Santana,São Paulo,SP,923180.0,5,Casa,3,97.7,2021,,5.5,True,False,False,4
Ipanema,Rio de Janeiro,RJ,1058102.93,4,Apartamento,3,112.1,2005,743.82,10.5,True,False,False,20
Buritis,Belo Horizonte,MG,385920.33,3,Casa,0,70.9,1989,,7.7,True,False,False,36
Tatuapé,São Paulo,SP,570162.43,4,Casa,1,68.4,1977,,1.8,True,False,False,48
Savassi,Belo Horizonte,MG,548890.65,4,Casa,1,68.2,1990,,3.9,True,True,False,35
Tatuapé,São Paulo,SP,569995.27,5,Casa,1,94.5,2012,,7.7,True,True,False,13
Tijuca,Rio de Janeiro,RJ,622536.64,3,Casa,2,75.1,1998,,1.8,True,False,False,27
Centro,Belo Horizonte,MG,465290.35,4,Casa,1,74.5,2017,,1.1,True,False,False,8
Ipanema,Rio de Janeiro,RJ,498144.95,3,Casa,2,66.7,1998,,4.9,True,False,True,27
Barro Preto,Belo Horizonte,MG,586028.08,2,Apartamento,0,68.0,2015,1493.33,7.0,True,False,False,10
Buritis,Belo Horizonte,MG,213401.62,2,Casa,1,26.2,2008,,3.0,True,False,False,17
Botafogo,Rio de Janeiro,RJ,629072.08,4,Apartamento,0,80.5,1987,643.26,5.5,True,True,True,38
Savassi,Belo Horizonte,MG,603597.28,3,Apartamento,2,65.0,2018,1329.8,5.4,True,True,False,7
Tatuapé,São Paulo,SP,710403.43,3,Apartamento,1,70.3,2023,403.88,4.2,True,False,False,2
Pampulha,Belo Horizonte,MG,487670.11,2,Apartamento,1,48.7,1997,897.99,2.0,True,False,False,28
Tatuapé,São Paulo,SP,417105.16,2,Casa,2,42.3,1990,,2.7,True,True,False,35
Pinheiros,São Paulo,SP,536780.22,2,Casa,2,68.4,1988,,4.1,True,True,True,37
